Player,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xA,PKmiss,FantPts
Aaron Cresswell,77,74,6504.0,4,4,0,0,14,0,2.3,2.3,4.8,0,109
Aaron Wan-Bissaka,66,66,5912.0,0,5,0,0,10,1,0.9,0.9,4.6,0,66
Adam Masina,29,22,2045.0,1,1,0,0,8,0,0.4,0.4,0.8,0,28
Adam Smith,68,63,5523.0,2,5,0,0,16,1,1.5,1.5,2.4,0,76
Adam Webster,21,21,1836.0,3,1,0,0,3,0,1.1,1.1,1.1,0,50
Adrian Mariappa,69,57,5357.0,0,0,0,0,11,1,1.7,1.7,1.2999999999999998,0,42
Ahmed Elmohamady,11,7,701.0,0,1,0,0,0,0,0.2,0.2,1.2,0,16
Ainsley Maitland-Niles,45,33,3109.0,1,3,0,0,8,2,1.3,1.3,3.3,0,44
Andreas Christensen,49,43,3868.0,0,0,0,0,5,0,1.7000000000000002,1.7000000000000002,0.7,0,39
Andrew Robertson,85,84,7514.0,2,23,0,0,7,0,2.8,2.8,15.2,0,206
Angeliño,6,4,422.0,0,0,0,0,1,0,0.2,0.2,1.2,0,4
Angelo Ogbonna,78,74,6730.0,4,1,0,0,9,0,3.2,3.2,1.0,0,105
Antonio Rüdiger,72,70,6247.0,5,1,0,0,14,0,4.4,4.4,1.2,0,99
Arthur Masuaku,38,29,2664.0,0,2,0,0,7,1,0.2,0.2,2.4,0,29
Ashley Young,72,66,5964.0,4,6,0,0,21,1,1.2000000000000002,1.2000000000000002,7.6000000000000005,0,95
Axel Tuanzebe,5,2,186.0,0,0,0,0,0,0,0.0,0.0,0.0,0,5
Aymeric Laporte,51,50,4371.0,3,3,0,0,5,0,2.5,2.5,1.4000000000000001,0,86
Ben Chilwell,82,78,7063.0,2,9,0,0,8,2,1.7,1.7,7.5,0,121
Ben Davies,64,52,4704.0,2,6,0,0,6,0,2.0,2.0,5.4,0,102
Ben Godfrey,19,19,1655.0,0,0,0,0,2,1,0.4,0.4,0.0,0,10
Ben Mee,94,94,8460.0,0,3,0,0,20,0,4.7,4.7,2.1,0,69
Ben Osborn,6,0,95.0,0,0,0,0,0,0,0.0,0.0,0.3,0,6
Benjamin Mendy,30,27,2366.0,0,8,0,0,5,0,0.6000000000000001,0.6000000000000001,3.0,0,60
Bernardo,32,25,2291.0,0,1,0,0,5,0,0.7,0.7,1.1,0,27
Björn Engels,16,14,1357.0,1,0,0,0,1,0,0.9,0.9,0.1,0,24
Brandon Pierrick,1,0,7.0,0,0,0,0,0,0,0.0,0.0,0.1,0,1
Brandon Williams,10,8,681.0,1,0,0,0,5,0,0.5,0.5,0.3,0,10
Bukayo Saka,17,11,1084.0,0,3,0,0,4,0,0.7,0.7,1.5,0,24
Calum Chambers,26,23,1969.0,1,1,0,0,6,0,1.7000000000000002,1.7000000000000002,0.8,0,29
Charlie Daniels,58,53,4712.0,2,3,0,0,4,0,1.0,1.0,3.4000000000000004,0,85
Charlie Taylor,64,58,5386.0,0,1,0,0,7,0,0.1,0.1,2.2,0,55
Chris Basham,27,27,2350.0,0,0,0,0,4,0,0.5,0.5,0.7,0,19
Chris Mepham,24,20,1749.0,1,1,0,0,2,0,0.6,0.6,0.1,0,35
Christian Fuchs,36,30,2761.0,0,1,0,0,1,0,0.5,0.5,0.9,0,39
Christian Kabasele,66,62,5310.0,2,1,0,0,12,3,2.5,2.5,0.4,0,52
Christoph Zimmermann,15,15,1296.0,0,1,0,0,2,0,0.4,0.4,0.0,0,16
Ciaran Clark,45,42,3792.0,7,1,0,0,7,0,3.3999999999999995,3.3999999999999995,0.9,0,106
Conor Coady,65,65,5850.0,0,0,0,0,8,0,0.0,0.0,0.5,0,49
Craig Cathcart,68,65,5796.0,4,0,0,0,9,0,2.3000000000000003,2.3000000000000003,0.5,0,90
Craig Dawson,48,45,4059.0,2,0,0,0,10,0,2.8,2.8,1.2,0,48
Cédric Soares,66,64,5597.0,1,6,0,0,8,0,1.6,1.6,5.2,0,90
César Azpilicueta,100,100,8973.0,5,14,0,0,5,0,4.4,4.4,9.899999999999999,0,210
Dan Burn,23,23,1969.0,0,0,0,0,3,0,0.7,0.7,1.0,0,17
Danny Rose,51,41,3664.0,0,4,0,0,14,0,1.6,1.6,3.5,0,43
Daryl Janmaat,49,45,3950.0,3,3,0,0,7,0,2.0,2.0,2.1,0,80
David Luiz,70,69,6174.0,6,3,0,0,11,2,3.9,3.9,3.6,0,113
Davinson Sánchez,74,70,6187.0,1,1,0,0,7,1,2.7,2.7,0.1,0,70
DeAndre Yedlin,75,67,6091.0,2,4,0,0,14,1,1.9,1.9,4.7,0,82
Dejan Lovren,50,43,3782.0,3,2,0,0,6,0,2.5,2.5,2.3000000000000003,0,78
Diego Rico,33,26,2402.0,0,2,0,0,7,0,0.5,0.5,3.2,0,29
Diogo Dalot,20,13,1079.0,0,2,0,0,3,0,0.5,0.5,1.8,0,24
Djibril Sidibé,19,16,1489.0,0,4,0,0,2,0,0.3,0.3,2.0,0,35
Emerson Palmieri,29,23,1963.0,0,1,0,0,3,0,1.3,1.3,2.0999999999999996,0,28
Emil Krafth,11,6,563.0,0,0,0,0,0,0,0.2,0.2,0.0,0,11
Enda Stevens,27,27,2385.0,2,2,0,0,5,0,0.8,0.8,3.5,0,47
Eric Bailly,26,20,1727.0,1,0,0,0,2,1,1.2,1.2,0.2,0,27
Eric García,6,2,269.0,0,0,0,0,0,0,0.0,0.0,0.0,0,6
Erik Pieters,46,44,3952.0,0,4,0,0,6,0,0.30000000000000004,0.30000000000000004,2.3,0,54
Ezequiel Schelotto,27,18,1608.0,0,0,0,0,4,0,1.0,1.0,0.7,0,19
Ezri Konsa,15,14,1199.0,0,2,0,0,1,0,0.6,0.6,0.1,0,23
Fabian Schär,42,37,3401.0,6,1,0,0,16,0,3.0,3.0,0.7,0,75
Fabián Balbuena,36,35,3094.0,2,0,0,0,4,0,3.8,3.8,0.1,0,48
Federico Fernández,70,65,5786.0,3,3,0,0,11,0,2.4,2.4,1.4000000000000001,0,93
Fernandinho,22,21,1907.0,0,0,0,0,7,1,0.8,0.8,0.3,0,3
Fikayo Tomori,14,14,1229.0,1,0,0,0,3,0,0.6,0.6,0.2,0,18
Florian Lejeune,42,40,3599.0,2,2,0,0,3,0,1.6,1.6,1.6,0,66
Frederic Guilbert,22,20,1810.0,0,2,0,0,7,0,0.3,0.3,1.4,0,18
Gary Cahill,47,42,3728.0,0,1,0,0,2,1,1.3,1.3,0.3,0,43
George Baldock,27,27,2430.0,2,3,0,0,6,0,0.5,0.5,1.8,0,50
Grant Hanley,13,12,1082.0,0,0,0,0,3,0,0.6,0.6,0.0,0,7
Harry Maguire,96,96,8448.0,6,5,0,0,15,1,6.0,6.0,3.0,0,146
Héctor Bellerín,61,59,5207.0,3,8,0,0,10,0,3.4000000000000004,3.4000000000000004,5.5,0,111
Ibrahim Amadou,11,8,756.0,0,0,0,0,1,0,1.0,1.0,0.1,0,9
Issa Diop,54,53,4746.0,4,0,0,0,12,0,2.5,2.5,0.4,0,70
Jack O'Connell,27,27,2430.0,0,1,0,0,3,0,1.2,1.2,2.1,0,26
Jack Simpson,10,6,641.0,0,0,0,0,0,0,0.1,0.1,0.1,0,10
Jack Stacey,10,10,888.0,0,1,0,0,2,0,0.3,0.3,1.1,0,11
