Player,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xA,PKmiss,FantPts
Aaron Cresswell,25.7,24.7,2168.0,1.3,1.3,0.0,0.0,4.7,0.0,0.8,0.8,1.6,0.0,35.8
Aaron Wan-Bissaka,22.0,22.0,1970.7,0.0,1.7,0.0,0.0,3.3,0.3,0.3,0.3,1.5,0.0,22.4
Adam Masina,14.5,11.0,1022.5,0.5,0.5,0.0,0.0,4.0,0.0,0.2,0.2,0.4,0.0,14.0
Adam Smith,22.7,21.0,1841.0,0.7,1.7,0.0,0.0,5.3,0.3,0.5,0.5,0.8,0.0,26.1
Adam Webster,21.0,21.0,1836.0,3.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,1.1,0.0,50.0
Adrian Mariappa,23.0,19.0,1785.7,0.0,0.0,0.0,0.0,3.7,0.3,0.6,0.6,0.4,0.0,14.1
Ahmed Elmohamady,11.0,7.0,701.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,1.2,0.0,16.0
Ainsley Maitland-Niles,15.0,11.0,1036.3,0.3,1.0,0.0,0.0,2.7,0.7,0.4,0.4,1.1,0.0,14.1
Andreas Christensen,16.3,14.3,1289.3,0.0,0.0,0.0,0.0,1.7,0.0,0.6,0.6,0.2,0.0,12.9
Andrew Robertson,28.3,28.0,2504.7,0.7,7.7,0.0,0.0,2.3,0.0,0.9,0.9,5.1,0.0,69.2
Angeliño,6.0,4.0,422.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.2,0.0,4.0
Angelo Ogbonna,26.0,24.7,2243.3,1.3,0.3,0.0,0.0,3.0,0.0,1.1,1.1,0.3,0.0,34.5
Antonio Rüdiger,24.0,23.3,2082.3,1.7,0.3,0.0,0.0,4.7,0.0,1.5,1.5,0.4,0.0,33.1
Arthur Masuaku,19.0,14.5,1332.0,0.0,1.0,0.0,0.0,3.5,0.5,0.1,0.1,1.2,0.0,14.5
Ashley Young,24.0,22.0,1988.0,1.3,2.0,0.0,0.0,7.0,0.3,0.4,0.4,2.5,0.0,31.5
Axel Tuanzebe,5.0,2.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Aymeric Laporte,17.0,16.7,1457.0,1.0,1.0,0.0,0.0,1.7,0.0,0.8,0.8,0.5,0.0,28.6
Ben Chilwell,27.3,26.0,2354.3,0.7,3.0,0.0,0.0,2.7,0.7,0.6,0.6,2.5,0.0,40.400000000000006
Ben Davies,21.3,17.3,1568.0,0.7,2.0,0.0,0.0,2.0,0.0,0.7,0.7,1.8,0.0,34.3
Ben Godfrey,19.0,19.0,1655.0,0.0,0.0,0.0,0.0,2.0,1.0,0.4,0.4,0.0,0.0,10.0
Ben Mee,31.3,31.3,2820.0,0.0,1.0,0.0,0.0,6.7,0.0,1.6,1.6,0.7,0.0,22.9
Ben Osborn,6.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,6.0
Benjamin Mendy,10.0,9.0,788.7,0.0,2.7,0.0,0.0,1.7,0.0,0.2,0.2,1.0,0.0,20.1
Bernardo,16.0,12.5,1145.5,0.0,0.5,0.0,0.0,2.5,0.0,0.4,0.4,0.6,0.0,13.5
Björn Engels,16.0,14.0,1357.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.1,0.0,24.0
Brandon Pierrick,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0
